id;create_date;rent_price;deposit;floor;area_total;rooms;region;repair_type;agent_fee
114;2021-12-06 01:38:10.728 +0300;50000.00;50000.00;13;45.0;2;1;euro;70
115;2021-12-06 01:32:34.524 +0300;40000.00;40000.00;2;44.5;2;1;cosmetic;50
116;2021-12-06 01:17:07.386 +0300;60000.00;60000.00;13;40.0;1;1;design;50
117;2021-12-06 01:16:37.946 +0300;30000.00;30000.00;9;24.0;0;2;euro;0
118;2021-12-06 01:16:24.803 +0300;30000.00;30000.00;10;24.мар;1;2;euro;50
119;2021-12-06 01:15:25.627 +0300;45000.00;45000.00;1;55.0;2;1;cosmetic;50
120;2021-12-06 01:14:22.728 +0300;120000.00;60000.00;6;70.0;1;2;euro;50
121;2021-12-06 01:09:14.227 +0300;45000.00;45000.00;8;58.0;2;1;cosmetic;50
122;2021-12-06 01:08:42.452 +0300;58000.00;58000.00;4;46.0;1;1;design;50
123;2021-12-06 01:08:35.732 +0300;50000.00;50000.00;3;92.0;3;2;euro;60
124;2021-12-06 01:08:13.834 +0300;57000.00;57000.00;1;52.0;2;1;euro;0
125;2021-12-06 01:08:06.213 +0300;40000.00;40000.00;25;48.0;1;1;euro;50
126;2021-12-06 01:07:51.433 +0300;40000.00;40000.00;4;46.0;2;1;cosmetic;90
127;2021-12-06 01:06:50.324 +0300;43000.00;43000.00;5;41.0;2;1;euro;0
128;2021-12-06 01:06:11.014 +0300;40000.00;40000.00;7;50.0;1;1;euro;100
129;2021-12-06 01:06:04.637 +0300;40000.00;40000.00;11;39.0;1;1;euro;30
130;2021-12-06 01:02:42.898 +0300;43700.00;0.00;5;50.9;2;1;cosmetic;0
131;2021-12-06 01:01:24.326 +0300;57000.00;57000.00;7;38.0;1;1;cosmetic;50
132;2021-12-06 01:00:38.148 +0300;78000.00;78000.00;7;60.0;2;1;euro;0
133;2021-12-06 00:59:41.632 +0300;40000.00;20000.00;3;44.0;2;1;cosmetic;50
134;2021-12-06 00:59:03.400 +0300;45000.00;45000.00;9;60.0;2;2;euro;50
135;2021-12-06 00:59:00.710 +0300;75000.00;75000.00;9;55.0;2;1;design;0
136;2021-12-06 00:58:42.964 +0300;55000.00;55000.00;6;60.0;2;1;design;0
137;2021-12-06 00:58:30.089 +0300;44000.00;44000.00;1;46.0;2;2;euro;0
138;2021-12-06 00:57:11.923 +0300;39500.00;39500.00;5;32.0;1;1;cosmetic;40
139;2021-12-06 00:56:23.193 +0300;55000.00;55000.00;6;63.5;3;1;cosmetic;50
140;2021-12-06 00:51:54.712 +0300;40000.00;40000.00;5;65.0;3;2;cosmetic;0
141;2021-12-06 00:51:53.094 +0300;40000.00;40000.00;3;52.0;1;2;euro;0
142;2021-12-06 00:51:45.106 +0300;40000.00;40000.00;11;46.2;1;2;cosmetic;50
143;2021-12-06 00:50:06.480 +0300;75000.00;75000.00;22;60.0;2;1;euro;50
144;2021-12-06 00:50:05.212 +0300;75000.00;75000.00;14;88.0;2;1;euro;50
145;2021-12-06 00:49:40.808 +0300;75000.00;75000.00;5;50.0;2;1;cosmetic;50
146;2021-12-06 00:49:39.836 +0300;70000.00;70000.00;7;50.0;2;1;design;0
147;2021-12-06 00:47:34.568 +0300;38000.00;38000.00;4;45.0;2;1;cosmetic;50
148;2021-12-06 00:42:03.474 +0300;55000.00;55000.00;9;60.0;2;1;cosmetic;100
149;2021-12-06 00:41:35.000 +0300;55000.00;55000.00;6;35.0;1;1;euro;100
150;2021-12-06 00:39:47.334 +0300;70000.00;70000.00;12;78.0;3;1;euro;60
151;2021-12-06 00:38:03.860 +0300;70000.00;70000.00;4;56.3;3;1;euro;50
152;2021-12-06 00:37:55.409 +0300;65000.00;65000.00;11;73.0;3;1;design;0
153;2021-12-06 00:37:54.257 +0300;65000.00;65000.00;1;43.0;2;1;design;0
154;2021-12-06 00:37:52.884 +0300;65000.00;65000.00;15;80.0;3;1;euro;50
155;2021-12-06 00:37:38.801 +0300;65000.00;65000.00;8;45.0;1;1;euro;50
156;2021-12-06 00:36:39.518 +0300;69999.00;35000.00;6;56.4;1;2;euro;50
157;2021-12-06 00:32:27.317 +0300;64000.00;64000.00;26;25.0;0;1;design;30
